Boleta,Fecha,Camion,Material,Toneladas
5966143,21/07/2025,C950300-02,ACOLCHADO VEGETAL,2.79
5966236,21/07/2025,C950300-55,ACOLCHADO VEGETAL,2.61
5966379,21/07/2025,C950300-02,ACOLCHADO VEGETAL,3.02
5967060,22/07/2025,C950300-02,ACOLCHADO VEGETAL,3.2
5967239,22/07/2025,C950300-02,ACOLCHADO VEGETAL,6.08
5968827,24/07/2025,C950300-02,ACOLCHADO VEGETAL,4.55
5968705,24/07/2025,C950300-02,ACOLCHADO VEGETAL,4.01
5969434,25/07/2025,C950300-05,ACOLCHADO VEGETAL,3.63
5969483,25/07/2025,C950300-02,ACOLCHADO VEGETAL,4.11
5949398,27/06/2025,C950300-01,ACOLCHADO VEGETAL,3.13
5949472,27/06/2025,C950300-55,ACOLCHADO VEGETAL,3.03
5949573,27/06/2025,C950300-01,ACOLCHADO VEGETAL,3.33
5949114,27/06/2025,C950300-02,ACOLCHADO VEGETAL,3.1
5949134,27/06/2025,C950300-01,ACOLCHADO VEGETAL,3.28
5949192,27/06/2025,C950300-02,ACOLCHADO VEGETAL,3.23
5949204,27/06/2025,C950300-68,ACOLCHADO VEGETAL,13.12
5949949,28/06/2025,C950300-01,ACOLCHADO VEGETAL,3.5
5950132,28/06/2025,C950300-01,ACOLCHADO VEGETAL,3.42
5949935,28/06/2025,C950300-68,ACOLCHADO VEGETAL,14.71
5951185,30/06/2025,C950300-68,ACOLCHADO VEGETAL,13.57
5951294,30/06/2025,C950300-01,ACOLCHADO VEGETAL,3.43
5950919,30/06/2025,C950300-3563,ACOLCHADO VEGETAL,5.88
5951078,30/06/2025,C950300-01,ACOLCHADO VEGETAL,3.28
5951766,1/7/2025,C950300-01,ACOLCHADO VEGETAL,3.64
5951916,1/7/2025,C950300-01,ACOLCHADO VEGETAL,3.61
5951955,1/7/2025,C950300-68,ACOLCHADO VEGETAL,16.46
5952615,2/7/2025,C950300-34,ACOLCHADO VEGETAL,0.83
5952633,2/7/2025,C950300-01,ACOLCHADO VEGETAL,3.73
5952733,2/7/2025,C950300-68,ACOLCHADO VEGETAL,16.71
5952833,2/7/2025,C950300-01,ACOLCHADO VEGETAL,3.54
5952950,2/7/2025,C950300-01,ACOLCHADO VEGETAL,3.89
5952549,2/7/2025,C950300-36,ACOLCHADO VEGETAL,1.05
5952551,2/7/2025,C950300-41,ACOLCHADO VEGETAL,0.93
5953356,3/7/2024,C950300-02,ACOLCHADO VEGETAL,3.88
5953360,3/7/2025,C950300-68,ACOLCHADO VEGETAL,15.69
5953388,3/7/2025,C950300-3563,ACOLCHADO VEGETAL,6.19
5953525,3/7/2025,C950300-01,ACOLCHADO VEGETAL,3.47
5953340,3/7/2025,C950300-01,ACOLCHADO VEGETAL,3.59
5954278,4/7/2025,C950300-01,ACOLCHADO VEGETAL,3.98
5954285,4/7/2025,C950300-02,ACOLCHADO VEGETAL,3.31
5954439,4/7/2025,C950300-02,ACOLCHADO VEGETAL,3.53
5954478,4/7/2025,C950300-01,ACOLCHADO VEGETAL,3.66
5954064,4/7/2025,C950300-01,ACOLCHADO VEGETAL,3.4
5954111,4/7/2025,C950300-57,ACOLCHADO VEGETAL,3.58
5954126,4/7/2025,C950300-56,ACOLCHADO VEGETAL,3.12
5954147,4/7/2025,C950300-3563,ACOLCHADO VEGETAL,5.78
5954198,4/7/2025,C950300-58,ACOLCHADO VEGETAL,3.43
5954844,5/7/2025,C950300-01,ACOLCHADO VEGETAL,3.78
5955066,5/7/2025,C950300-01,ACOLCHADO VEGETAL,3.65
5956179,7/7/2025,C950300-01,ACOLCHADO VEGETAL,3.55
5955693,7/7/2025,C950300-01,ACOLCHADO VEGETAL,3.49
5955803,7/7/2025,C950300-3563,ACOLCHADO VEGETAL,6.23
5955822,7/7/2025,C950300-01,ACOLCHADO VEGETAL,3.19
5956030,7/7/2025,C950300-01,ACOLCHADO VEGETAL,2.88
5956889,8/7/2025,C950300-01,ACOLCHADO VEGETAL,3.61
5956626,8/7/2025,C950300-01,ACOLCHADO VEGETAL,3.31
5957981,9/7/2025,C950300-01,ACOLCHADO VEGETAL,3.67
5957535,9/7/2025,C950300-01,ACOLCHADO VEGETAL,3.1
5957635,9/7/2025,C950300-01,ACOLCHADO VEGETAL,3.78
5957648,9/7/2025,C950300-36,ACOLCHADO VEGETAL,0.68
5957763,9/7/2025,C950300-02,ACOLCHADO VEGETAL,3.7
